Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_31-15.pdf,https://drive.google.com/file/d/1qF-tWlnBzfYKbR-o9BoTMZpk4yF1XX1k/view?usp=drivesdk,Vytváření formulářů,VYT
VY_32_INOVACE_38-18.pdf,https://drive.google.com/file/d/1Vf53WGreImYIUuWO64e6X2P6-LesnY60/view?usp=drivesdk,Formuláře - procvičení,VYT
VY_32_INOVACE_31-14.pdf,https://drive.google.com/file/d/1bIl2FjMCvUbCjPm3PNegAg_FoHgLdlZu/view?usp=drivesdk,"Formuláře a sestavy - úvod, objekty",VYT
VY_32_INOVACE_31-13.pdf,https://drive.google.com/file/d/1Jm7WXA5bV1P9JITgYkXGcwHbQTHVIx8f/view?usp=drivesdk,Praktické využití relací,VYT
VY_32_INOVACE_38-17.pdf,https://drive.google.com/file/d/1dnnEMp851m8jOMqZ2pZe9bx9ZDGc7Qsg/view?usp=drivesdk,Formuláře - prvky,VYT
VY_32_INOVACE_31-12.pdf,https://drive.google.com/file/d/1qw_uhAL0OfJtYOVLXogna3f2imvSnQCT/view?usp=drivesdk,"Relace - různé typy, vlastnosti",VYT
VY_32_INOVACE_38-16-01.xlsx,https://docs.google.com/spreadsheets/d/1LyMTOn0G4B5rqqcr4VuHoCIS1xS0BOzg/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_31-11.pdf,https://drive.google.com/file/d/1956NKB6Q972x8cldU7XxGp4_4lt_eGB2/view?usp=drivesdk,Relace mezi tabulkami - seznámení,VYT
VY_32_INOVACE_38-16.pdf,https://drive.google.com/file/d/1gEbeWS3FhnFW5G4I42dO3mMhbDzGf96w/view?usp=drivesdk,Funkce SVYHLEDAT,VYT
VY_32_INOVACE_38-15-01.xlsx,https://docs.google.com/spreadsheets/d/1r9qKnt3XSeOlD18C5jWhSLArUdhGY7JT/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_38-15.pdf,https://drive.google.com/file/d/1jci8deJlqpTTqGMTRTdXBaN5baPhVmJz/view?usp=drivesdk,Ověření,VYT
VY_32_INOVACE_25-20.pdf,https://drive.google.com/file/d/1zB6kouplRfa59u1n2EUNvweOiU_yF-3B/view?usp=drivesdk,Generování náhodných hodnot,VYT
VY_32_INOVACE_38-12-01.xlsx,https://docs.google.com/spreadsheets/d/1p0eb-t6H1xEkO99yKnKQuePmidiOjYis/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_25-17.pdf,https://drive.google.com/file/d/1_qC8ppMPwTsT3a3noGwdhgSA4WVL4L2g/view?usp=drivesdk,Složitější cykly s proměnnými mezemi a vnořování cyklů,VYT
VY_32_INOVACE_31-02.pdf,https://drive.google.com/file/d/1wVMZUR4Fk8uhqlOkAlGEqDdehmksroK8/view?usp=drivesdk,"Základní pojmy - záznam, pole, typy polí",VYT
VY_32_INOVACE_38-11-01.xlsx,https://docs.google.com/spreadsheets/d/1aqLNOVgXUkCJmbFE7B2NGOWAhEdsgmDv/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_38-11.pdf,https://drive.google.com/file/d/1NyZn770bMALUmA9TnhiA8OvuTz6aKyHg/view?usp=drivesdk,Grafy - úvod,VYT
VY_32_INOVACE_38-10-01.xlsx,https://docs.google.com/spreadsheets/d/1dh990kXgI0KRugJlK3KYycT8npTAbLX4/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_30-20.pdf,https://drive.google.com/file/d/1keo_vUNQwDm5aVW9YX_Tt9EOFro6BdJM/view?usp=drivesdk,VG - Vektorová animace,VYT
VY_32_INOVACE_38-10.pdf,https://drive.google.com/file/d/1S6nab_jef6hmHIxoPeds6kB0mXep3uBG/view?usp=drivesdk,Práce s více listy + 3D,VYT
VY_32_INOVACE_25-15.pdf,https://drive.google.com/file/d/1H-HcqCug_go9sdA5vb4QcWeEOCW6KpPY/view?usp=drivesdk,Cyklus řízený proměnnou,VYT
VY_32_INOVACE_38-09-01.xlsx,https://docs.google.com/spreadsheets/d/1-39GR1GVdtOvTiAoKhDysAsrqHIPros6/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_38-09.pdf,https://drive.google.com/file/d/1qUzVRlynOn9rXPnbE2W443ebJkxEzrjP/view?usp=drivesdk,Řady,VYT
VY_32_INOVACE_25-13.pdf,https://drive.google.com/file/d/1Qi8ohMLiMkBhP1-TVplKPoZRMIsnkplg/view?usp=drivesdk,Vnořování podmíněných příkazů,VYT
VY_32_INOVACE_30-17.pdf,https://drive.google.com/file/d/1d1ucyCitoclUnaso8MVSUvXeOP8XRdKo/view?usp=drivesdk,VG - Tvarování křivek a objektů,VYT
VY_32_INOVACE_38-08-01.xlsx,https://docs.google.com/spreadsheets/d/1_gVS-3kCdcp16pAPicaw4HwgIt7p263R/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_38-08.pdf,https://drive.google.com/file/d/1U_PpKVi2rGjcbiW0eY84GR94tFRNOoVt/view?usp=drivesdk,Podmíněné formátování,VYT
VY_32_INOVACE_38-07-01.xlsx,https://docs.google.com/spreadsheets/d/1UcQneR5ua70bN2F8fCeS9KIGWIgzdJFJ/edit?usp=drivesdk&ouid=118181400249512939226&rtpof=true&sd=true,,VYT
VY_32_INOVACE_30-14.pdf,https://drive.google.com/file/d/1HWB8bessc4_ZrumnDsgkiX9h3THhXX0h/view?usp=drivesdk,RG - Animovaný gif,VYT
VY_32_INOVACE_38-07.pdf,https://drive.google.com/file/d/1evO3IX0PO4M2qnsacEs64hzBTeusxvFI/view?usp=drivesdk,Práce s procenty,VYT
VY_32_INOVACE_30-13.pdf,https://drive.google.com/file/d/1mDkUDdX_wjRTWRSiHi_CgA12BUqJxrCR/view?usp=drivesdk,RG - Práce s textem,VYT
